NUMERO_REGISTRAZIONE,FORMULATO COMMERCIALE,PRODUTTORE,SOSTANZE_ATTIVE,SOSTANZA ATTIVA_PER_100G_DI_PRODOTTO
12408,VEBIPHOS M 223,SCAM S.P.A.,CHLORPYRIFOS-METHYL,22.1 g
12409,ASSO,SCAM S.P.A.,BUPROFEZIN,25.0 g
12410,ESAMAG,PROCHIMAG DI MANDRIOLI GIUSEPPE,ESACONAZOLO,4.8 g
12411,ROUNDUP,MONSANTO AGRICOLTURA ITALIA S.P.A.,GLYPHOSATE,30.7 g
12412,GENESIS,PHYTEUROP S.A.,THIODICARB,4.0 g
12413,AFFINITY 40 DG,FMC CHEMICAL SPRL,CARFENTRAZONE-ETHYL,40.0 g
12415,AFIDINA MICRO C,UPL  ITALIA S.R.L.,FENITROTHION,35.4 g
12416,ROTIOFEN CAP,UPL  ITALIA S.R.L.,FENITROTHION,35.4 g
12418,STARTOP,BAYER CROPSCIENCE S.R.L.,TRIFLUMURON,39.4 g
12419,BRAVO,SYNGENTA ITALIA S.P.A.,CHLOROTHALONIL,40.0 g
12420,TB 20 DG,SHARDA CROPCHEM LIMITED,TEBUCONAZOLE,20.0 g
12421,FENDINAL SE,BAYER CROPSCIENCE S.R.L.,PHENMEDIPHAM,16.0 g
12422,EPAL COMBI,AGRIMPORT S.P.A.,FOSETYL-ALUMINIUM|COPPER OXYCHLORIDE,20.0 g|20.0 g
12423,BUPROSYS,TECNITERRA S.R.L.,BUPROFEZIN,95.0 g
12424,ZARGON,DOW AGROSCIENCES ITALIA S.R.L.,OXYFLUORFEN,22.9 g
12426,NEU-AMID 3 LG,GOBBI L. S.R.L.,1-NAPHTHYLACETAMIDE (1-NAD),3.0 g
12428,BETAGIB LG,GOBBI L. S.R.L.,GIBBERELLIC ACID|BETA NOA,0.1 g|4.0 g
12430,BRAFIX,GOBBI L. S.R.L.,1-NAPHTHYLACETIC ACID (1-NAA),2.0 g
12432,LITANIE FL,SCAM S.P.A.,PENCYCURON,23.2 g
12433,AFIDAN-M,TECNITERRA S.R.L.,MALATHION,30.0 g
12434,PERCITRIN EC,ARYSTA LIFESCIENCE BENELUX SPRL,CYPERMETHRIN,5.0 g
12435,ZOLTRIM COMBI,SCAM S.P.A.,TRIADIMENOL|SULPHUR (ZOLFO),3.0 g|50.0 g
12436,STRIKE EW,CHEMTURA ITALY S.R.L.,PROPARGITE,52.7 g
12437,DELAN 70 WG,BASF ITALIA S.P.A.,DITHIANON,70.0 g
12438,EPAL TRIS,AGRIMPORT S.P.A.,CYMOXANIL|FOSETYL-ALUMINIUM|MANCOZEB,3.0 g|33.0 g|25.0 g
12439,BREK,ISAGRO S.P.A.,TETRACONAZOLE,3.9 g
12440,STELMAR,BAYER CROPSCIENCE S.R.L.,TRIFLUMURON,39.4 g
12441,TRIPUDIO,ADAMA MAKHTESHIM LTD,METHOMYL,19.0 g
12442,BAGNANTE LBI,LABORATORIO BIOFARMACOTECNICO ITALIANO S.R.L.,SORBITAN MONO OLEATO ETOSSILATO,12.0 g
12443,NAVAJO 40 SC,ROCCA FRUTTA S.R.L.,BUPROFEZIN,40.5 g
12444,CAPTAN 80 WG,IQV INDUSTRIAS QUIMICAS DEL VALLES S.A.,CAPTAN,80.0 g
12445,BAP 10,BIOLCHIM S.P.A.,6-BENZYLADENINE,9.4 g
12446,NEXOL COMBI WG,MANICA S.P.A.,PENCONAZOLE,2.0 g
12447,WARRANT SL,BAYER CROPSCIENCE S.R.L.,IMIDACLOPRID,17.1 g
12448,KOHINOR 200,BAYER CROPSCIENCE S.R.L.,IMIDACLOPRID,17.1 g
12449,TIOSYS 80 WG,SULPHUR MILLS LTD,SULPHUR (ZOLFO),80.0 g
12450,B-NINE,CHEMTURA ITALY S.R.L.,DAMINOZIDE,85.0 g
12451,MAISNET,ROTAM AGROCHEMICAL EUROPE LIMITED,NICOSULFURON,4.2 g
12452,EQUIP,BAYER CROPSCIENCE S.R.L.,FORAMSULFURON|ISOXADIFEN ETHYL,2.3 g|2.3 g
12453,MILDICUT,ISK BIOSCIENCES EUROPE N.V.,CYAZOFAMID|DISODIUM PHOSPHONATE,2.0 g|20.3 g
12454,ANTIGERMOGLIO PER PATATE,AGRIBIOCHIMICA S.R.L.,CHLORPROPHAM,29.0 g
12455,DAZIDE ENHANCE,FINE AGROCHEMICALS LTD,DAMINOZIDE,85.1 g
12456,FINALSAN ERBICIDA GARDEN PRONTO USO,W. NEUDORFF GMBH KG,PELARGONIC ACID (CAS 112-05-0),3.1 g
12457,RAMENDO 6,GRABI CHEMICAL S.R.L.,COPPER SULFATE,6.0 g
12458,MORFEO,AGRIMIX S.R.L.,DIMETHOMORPH,50.0 g
12459,VOLCAN SC,UPL EUROPE LTD,METAMITRON,58.0 g
12460,FINALSAN ERBICIDA PROFESSIONAL PRONTO USO,W. NEUDORFF GMBH KG,PELARGONIC ACID (CAS 112-05-0),3.1 g
12461,FINALSAN ERBICIDA PROFESSIONAL,W. NEUDORFF GMBH KG,PELARGONIC ACID (CAS 112-05-0),18.9 g
12462,FINALSAN ERBICIDA GARDEN,W. NEUDORFF GMBH KG,PELARGONIC ACID (CAS 112-05-0),18.9 g
12463,PENTHIUM WDG,ADAMA AGAN LTD,PENDIMETHALIN,40.0 g
12465,MIRADIN,GOWAN ITALIA S.R.L.,DIAZINON,15.0 g
12466,PREDATOR,NUFARM ITALIA S.R.L.,BUPROFEZIN,40.5 g
12467,DALLAS 20 EW,ROCCA FRUTTA S.R.L.,PENCONAZOLE,19.4 g
12468,RUSTER,CHEMIA S.P.A.,TRIADIMENOL|SULPHUR (ZOLFO),3.0 g|50.0 g
12470,OLIOCIN GIARDINO,BAYER CROPSCIENCE S.R.L.,PARAFFIN OIL/(CAS 8042-47-5),80.0 g
12471,AKTOR TRIPLO BLU,HELM AG,CYMOXANIL|FOSETYL-ALUMINIUM|MANCOZEB,3.0 g|33.0 g|25.0 g
12473,CHEYENNE,ROCCA FRUTTA S.R.L.,PYRIDABEN,19.4 g
12474,PANTHEON,ROCCA FRUTTA S.R.L.,FENPYROXIMATE,5.0 g
12475,OLIMPO,ROCCA FRUTTA S.R.L.,NICOSULFURON,4.2 g
12477,ETRUSCO,ROCCA FRUTTA S.R.L.,ISOXABEN,45.5 g
12478,LATINO,ROCCA FRUTTA S.R.L.,ACLONIFEN,49.0 g
12479,TESTUDO,ROCCA FRUTTA S.R.L.,QUIZALOFOP-P-ETHYL,5.3 g
12480,NATURALROC,ROCCA FRUTTA S.R.L.,PIPERONYL BUTOXIDE|PYRETHRINS,12.8 g|4.0 g
12481,ITAIPU',ROCCA FRUTTA S.R.L.,ETOFENPROX,30.0 g
12482,LUMAX,SYNGENTA ITALIA S.P.A.,TERBUTHYLAZINE|S-METOLACHLOR|MESOTRIONE,16.9 g|28.2 g|3.4 g
12483,FENICRIT T,CIFO S.R.L.,PENCONAZOLE,0.2 g
12484,MINEROL MT,CIFO S.R.L.,MALATHION|PETROLEUM OILS/(CAS 92062-35-6),0.0 g|0.8 g
12485,CYMCO 72 WP,BELCHIM CROP PROTECTION NV/SA,CYMOXANIL|MANCOZEB,8.0 g|64.0 g
12487,CORVIT MZ,NEW AGRI S.R.L.,MANCOZEB|COPPER OXYCHLORIDE,30.0 g|14.0 g
12488,CUPROTEK,NEW AGRI S.R.L.,MANCOZEB|COPPER OXYCHLORIDE,14.0 g|14.0 g
12489,DIFCOR 250,GLOBACHEM NV,DIFENOCONAZOLE,23.6 g
12490,GAMMA TAB,NUFARM S.A.S.,GIBBERELLIC ACID,20.0 g
12491,CIPERTHRIN PLUS,SBM DEVELOPPEMENT S.A.S.,CYPERMETHRIN,9.8 g
12492,ASTROL NUOVO,DOW AGROSCIENCES ITALIA S.R.L.,SORBITAN MONO OLEATO ETOSSILATO,12.0 g
12493,MANCOZEB PLUS 75 WG,INDOFIL INDUSTRIES (NETHERLANDS) B.V.,MANCOZEB,75.0 g
12494,FENIREL D,ARYSTA LIFESCIENCE BENELUX SPRL,CYPERMETHRIN|CHLORPYRIFOS,2.0 g|15.0 g
12495,ACHIEVE,SYNGENTA ITALIA S.P.A.,TRALKOXYDIM,34.7 g
12496,FUTUR,AGRIM S.R.L.,TRIBENURON,75.0 g
12497,GA47,BIOLCHIM S.P.A.,GIBBERELLINS (A4+A7),1.0 g
12498,TRAXOS,SYNGENTA ITALIA S.P.A.,CLODINAFOP|CLOQUINTOCET MEXYL|PINOXADEN,9.5 g|2.4 g|9.5 g
12499,SMARTFRESH SMARTTABS,AGROFRESH HOLDING FRANCE SAS,1-METHYL-CYCLOPROPENE,0.6 %
12500,SUMMIT,ARYSTA LIFESCIENCE BENELUX SPRL,CYPERMETHRIN|CHLORPYRIFOS,1.5 g|15.0 g
12501,NEMISPOR 60,ISAGRO S.P.A.,MANCOZEB,60.0 g
12502,DIGERMIN,ISAGRO S.P.A.,TRIFLURALIN,45.8 g
12504,FLOWBRIX,MONTANWERKE BRIXLEGG AG,COPPER OXYCHLORIDE,25.4 g
12505,FLOWBRIX TRACE,MONTANWERKE BRIXLEGG AG,COPPER OXYCHLORIDE,25.4 g
12507,RIM,AGRIMIX S.R.L.,RIMSULFURON (AKA RENRIDURON),25.0 g
12510,TECNICID M 400,TECNITERRA S.R.L.,FENITROTHION,35.0 g
12511,OXYNET,TECNITERRA S.R.L.,OXYFLUORFEN,22.0 g
12512,EGON 5 SC,EURO TSA S.R.L.,ESACONAZOLO,5.0 g
12513,GALLANT W30,DOW AGROSCIENCES ITALIA S.R.L.,HALOXYFOP-P-METHYL ESTER,3.6 g
12514,VIPER,DOW AGROSCIENCES ITALIA S.R.L.,PENOXSULAM,2.1 g
12515,GIBRELIN TAB,FINE AGROCHEMICALS LTD,GIBBERELLIC ACID,18.4 g
12516,RIBALTA,"GOWAN COMERCIO INTERNACIONAL E SERVICOS, LIMITADA",DICLORAN,46.0 g
12517,CONFIDOR O-TEQ,BAYER CROPSCIENCE S.R.L.,IMIDACLOPRID,19.6 g
12519,CORSARIO,ASCENZA ITALIA S.R.L.,IMIDACLOPRID,17.1 g
12520,RANGER GOLD,DIACHEM S.P.A.,THIOPHANATE-METHYL,38.0 g
12522,METRO,ARYSTA LIFESCIENCE BENELUX SPRL,METRIBUZIN,35.0 g
12523,SPAIKIL DOUBLE,SCAM S.P.A.,CLOFENTEZINE|BIFENTHRIN,9.3 g|2.2 g
12524,PLATOON,BE DI BR BUSOLIN ELIGIO DI BUSOLIN RODOLFO,PROPAMOCARB,67.0 g
12525,BLUECONTACT,BAYER CROPSCIENCE S.R.L.,OXADIAZON,2.0 g
12526,ALIETTE ORTO E GIARDINO,BAYER CROPSCIENCE S.R.L.,FOSETYL-ALUMINIUM,80.0 g
12528,CABRIO TOP,BASF ITALIA S.P.A.,METIRAM|PYRACLOSTROBIN,55.0 g|5.0 g
12529,TUCANA 25 EC,BASF ITALIA S.P.A.,PYRACLOSTROBIN,25.0 g
12530,CABRIO STAR,BASF ITALIA S.P.A.,FOLPET|PYRACLOSTROBIN,32.5 g|3.3 g
12532,AGRO-NICO 40,AGRO TRADE GMBH,NICOSULFURON,4.2 g
12533,PERIPLO,TECOMAG S.R.L.,BUPROFEZIN,40.5 g
12534,FOXTAIL,CHEMINOVA AGRO ITALIA S.R.L.,FENOXAPROP-P-ETHYL,2.8 g
12535,BROADLEAF,GREEN RAVENNA S.R.L.,ISOXABEN,45.5 g
12536,SCULPTOR 20 EW,NUFARM ITALIA S.R.L.,TAU-FLUVALINATE,21.4 g
12537,KEETON COMBI,NUFARM ITALIA S.R.L.,SULPHUR (ZOLFO)|TEBUCONAZOLE,70.0 g|4.5 g
12538,MYSTIC 25 WG,NUFARM ITALIA S.R.L.,TEBUCONAZOLE,25.0 g
12539,RHODOS 5 EC,NUFARM ITALIA S.R.L.,QUIZALOFOP-P-ETHYL,5.3 g
12540,REGRAN EXTRA,NUFARM ITALIA S.R.L.,MCPA,44.3 g
12541,ANTILUMACA PLUS,SIAPA S.R.L.,METALDEHYDE|DENATHONIUM BENZOATE,5.0 g|0.0 g
12542,CUPROFIX F DISPERSS,UPL EUROPE LTD,BORDEAUX MIXTURE|FOLPET,12.0 g|30.0 g
12543,TENDER 75 WG,EURO TSA S.R.L.,TRIBENURON,75.0 g
12544,GEO CLEAN,GREEN RAVENNA S.R.L.,METALDEHYDE|MALATHION,3.0 g|3.0 g
12545,AUXIGIB LG,GOBBI L. S.R.L.,GIBBERELLIC ACID|1-NAPHTHYLACETAMIDE (1-NAD)|BETA NOA,0.2 g|1.8 g|3.0 g
12546,CIMOSTAR DOS,ORIS S.P.A.,CYMOXANIL|COPPER OXYCHLORIDE,4.0 g|20.0 g
12547,SCATTER,SIPCAM S.P.A.,ETOFENPROX,15.0 g
12548,XANILO 45 WG,SIPCAM OXON S.P.A.,CYMOXANIL,45.0 g
12549,KIRAN EC,AGRISYSTEM S.R.L.,DICOFOL,19.0 g
12550,SAHEL 75 WG,ROTAM AGROCHEMICAL EUROPE LIMITED,NICOSULFURON,75.0 g
12551,BUMPER T,ISAGRO S.P.A.,PROCHLORAZ|TETRACONAZOLE,21.9 g|3.9 g
12552,MIK,AGRIM S.R.L.,PENCONAZOLE,10.0 g
12553,VEBIPYR,VEBI ISTITUTO BIOCHIMICO S.R.L.,PIPERONYL BUTOXIDE|PYRETHRINS,14.0 g|4.0 g
12554,TERMINAL,GOWAN ITALIA S.R.L.,OXYFLUORFEN,23.0 g
12555,BARON BLU SC,ISAGRO S.P.A.,COPPER OXYCHLORIDE,20.0 g
12556,IVORY,BELCHIM CROP PROTECTION NV/SA,NICOSULFURON,4.2 g
12557,DIETOL PLUS 40 ST,CHEMINOVA AGRO ITALIA S.R.L.,DIMETHOATE,37.7 g
12558,KIRAN DUO,AGRISYSTEM S.R.L.,ETOFENPROX,30.0 g
12559,RODACUS 40 ST,CHEMINOVA AGRO ITALIA S.R.L.,DIMETHOATE,37.7 g
12560,DANADIM ST,CHEMINOVA AGRO ITALIA S.R.L.,DIMETHOATE,37.7 g
12561,MILLENIUM,ADAMA IRVITA N.V.,CYFLUTHRIN|IMIDACLOPRID,2.4 g|7.1 g
12562,BAC 32,ISAGRO S.P.A.,BACILLUS THURINGIENSIS SOTTOSPECIE KURSTAKI 3A-3B CEPPO HD1,5.0 g
12563,BRONX,CHEMINOVA AGRO ITALIA S.R.L.,FLUTRIAFOL,12.0 g
12564,ELECTIS MZ,GOWAN ITALIA S.R.L.,MANCOZEB|ZOXAMIDE,66.7 g|8.3 g
12565,METIX M,IQV ITALIA S.R.L.,MANCOZEB|METALAXYL,64.0 g|8.0 g
12566,PYGANIC 1.4,MGK MCLAUGHLIN GORMLEY KING EUROPE LTD,PYRETHRINS,1.4 g
12567,FOLMAK TWIN,ADAMA MAKHTESHIM LTD,FOLPET|FOSETYL-ALUMINIUM,25.0 g|50.0 g
12568,SPRINTEX NEW L,NUFARM ITALIA S.R.L.,1-NAPHTHYLACETIC ACID (1-NAA),1.0 g
12569,SUMIT EC,SCAM S.P.A.,FENITROTHION,19.0 g
12570,MONDIN MDC,CHEMIA S.P.A.,DICAMBA,16.0 g
12571,NEWPHOS C.E.,NEWPHARM S.R.L.,DICHLORVOS,46.0 g
12573,EKO OIL SPRAY,ADAMA MAKHTESHIM LTD,PARAFFIN OIL/(CAS 97862-82-3),98.8 g
12574,ICARUS EW,NUFARM ITALIA S.R.L.,TEBUCONAZOLE,19.6 g
12575,CLAPS 430 FLOW,DIACHEM S.P.A.,BUPROFEZIN,40.5 g
12576,AGRIMIX FLUFEN 50 DC,AGRIMIX S.R.L.,FLUFENOXURON,4.7 g
12577,GALLERY T-DG,DOW AGROSCIENCES ITALIA S.R.L.,TRIFLURALIN|ISOXABEN,2.0 g|0.5 g
12578,RANMAN,ISK BIOSCIENCES EUROPE N.V.,CYAZOFAMID,34.8 g
12580,FENNY 200,SCAM S.P.A.,FENITROTHION,19.0 g
12582,LINFA PIRETRO NATURALE,LINFA S.P.A. CURA DEL VERDE,PIPERONYL BUTOXIDE|PYRETHRINS,10.0 g|2.0 g
12583,VIRONEX BORDO,IQV INDUSTRIAS QUIMICAS DEL VALLES S.A.,CYMOXANIL|BORDEAUX MIXTURE,3.0 g|22.5 g
12584,SPHINX MZ,ADAMA ITALIA S.R.L.,MANCOZEB|DIMETHOMORPH,60.0 g|9.0 g
12585,AFIDINA 200,SCAM S.P.A.,FENITROTHION,19.0 g
12586,GOSPEL,CHEMIA S.P.A.,TEFLUBENZURON,14.0 g
12587,AXIS M 4-40,NUFARM ITALIA S.R.L.,CYMOXANIL|MANCOZEB,4.0 g|40.0 g
12588,TITANIUM,NUFARM ITALIA S.R.L.,DIMETHOATE,38.0 g
12589,FALCON,NUFARM ITALIA S.R.L.,FENITROTHION,47.5 g
12590,DIASTAR MAXI,DIACHEM S.P.A.,TEFLUTHRIN,0.5 g
12591,STUCAS 50,ROCCA FRUTTA S.R.L.,FENBUTATIN OXIDE,50.0 g
12592,HELOZINA 75 WP,HELM AG,CYROMAZINE,75.0 g
12593,BIG STAR,SIPCAM S.P.A.,ETOFENPROX,15.0 g
12595,ROTIOFEN EC,SCAM S.P.A.,FENITROTHION,19.0 g
12596,ROCKET,CHEMIA S.P.A.,PIRIMIPHOS-METHYL,25.0 g
12597,VERTIMEC 1.8,SYNGENTA ITALIA S.P.A.,ABAMECTIN (AKA AVERMECTIN),1.7 g
12598,GRANSTAR POWER SX,CHEMINOVA AGRO ITALIA S.R.L.,TRIBENURON|MECOPROP-P,1.0 g|73.4 g
12599,CYMOPUR 35 WG,BELCHIM CROP PROTECTION NV/SA,CYMOXANIL,35.0 g
12600,TAGAFOR,PROCHIMAG DI MANDRIOLI GIUSEPPE,TEFLUBENZURON,14.0 g
12601,TETRASIP 200,SIPCAM S.P.A.,PENCONAZOLE,19.0 g
12602,ETEPLUS,HERMOO BELGIUM N.V.,ETHEPHON,39.5 g
12603,LENOX WP,HERMOO BELGIUM N.V.,LENACIL,80.0 g
12604,ROGISTAR,HERMOO BELGIUM N.V.,GIBBERELLINS (A4+A7)|6-BENZYLADENINE,1.8 g|1.8 g
12605,DODIFUN,HERMOO BELGIUM N.V.,DODINE,39.6 g
12606,METADIL SC,HERMOO BELGIUM N.V.,METAMITRON,58.5 g
12607,TAMIFUM-K,TAMINCO ITALIA S.R.L.,METAM POTASSIUM,42.2 g
12609,PHILABUSTER 400 SC,JANSSEN PHARMACEUTICA N.V.,IMAZALIL (AKA ENILCONAZOLE)|PYRIMETHANIL,17.2 g|17.2 g
12610,VESUVIO,ROCCA FRUTTA S.R.L.,FLUAZIFOP-P-BUTYL,13.0 g
12611,SARMOX 22 WDG,SIPCAM OXON S.P.A.,CYMOXANIL,22.0 g
12612,TEKEL K,GOWAN ITALIA S.R.L.,HEXYTHIAZOX|DICOFOL,2.0 g|16.0 g
12614,ANTICRITTOGAMICO SPRAY ORTO,GUABER S.R.L.,CYMOXANIL|COPPER OXYCHLORIDE|SULPHUR (ZOLFO),0.0 g|0.0 g|0.0 g
12615,ACARICIDA SPRAY,GUABER S.R.L.,HEXYTHIAZOX,0.0 g
12617,QUINCKER,SCAM S.P.A.,FENITROTHION,19.0 g
12619,BAGNANTE L,GOWAN ITALIA S.R.L.,SORBITAN MONO OLEATO ETOSSILATO,12.0 g
12620,BATON TAPPETI ERBOSI,NUFARM GMBH & CO KG,"2,4-D",96.8 g
12621,METADIL WG,HERMOO BELGIUM N.V.,METAMITRON,70.0 g
12622,QUANTUM,ADAMA ITALIA S.R.L.,DIMETHOMORPH,50.0 g
12623,INDACO,TECOMAG S.R.L.,FLUFENOXURON,4.7 g
12624,TERMINUS COMBI,EURO TSA S.R.L.,TRIADIMENOL|SULPHUR (ZOLFO),2.5 g|50.0 g
12625,EFUZIN 400 SC,ARYSTA LIFESCIENCE BENELUX SPRL,DODINE,39.4 g
12627,DANADIM 400 ST,CHEMINOVA AGRO ITALIA S.R.L.,DIMETHOATE,37.7 g
12628,SERENADE MAX,BAYER CROPSCIENCE S.R.L.,BACILLUS AMYLOLIQUEFACIENS (FORMER SUBTILIS) STR. QST 713,2.1 g
12629,BUGGY 360 SG N.E.T.,SIPCAM ITALIA S.P.A.,GLYPHOSATE,36.0 g
12630,DICOCID,CHEMIA S.P.A.,DICOFOL,22.0 g
12634,AGRIMIX ETOFENPROX 280,AGRIMIX S.R.L.,ETOFENPROX,30.0 g
12635,EXTRA FIT,SIPCAM S.P.A.,6-BENZYLADENINE,9.5 g
12636,QUASAR 6-24 R,DIACHEM S.P.A.,TRIBASIC COPPER SULFATE|DIMETHOMORPH,24.0 g|6.0 g
12637,ROFEN EC,SCAM S.P.A.,FENITROTHION,19.0 g
12638,AKOFEN 240 EC,AAKO B.V.,OXYFLUORFEN,23.8 g
12639,AKONIL,AAKO B.V.,PROPANIL,35.0 g
12640,AKOMYL 25 WP,AAKO B.V.,METHOMYL,25.6 g
12641,FOLITEC - SE,ROTAM AGROCHEMICAL EUROPE LIMITED,TEBUCONAZOLE,4.4 g
12642,TRATON SX,CHEMINOVA AGRO ITALIA S.R.L.,TRIBENURON|METSULFURON-METHYL,22.2 g|11.1 g
12643,LIBRA,ARYSTA LIFESCIENCE BENELUX SPRL,TEFLUTHRIN,0.5 g
12644,ALTIX,ASCENZA ITALIA S.R.L.,NICOSULFURON,4.2 g
12645,FITODEK,PROCHIMAG DI MANDRIOLI GIUSEPPE,6-BENZYLADENINE,9.4 g
12647,GLITTER,SHARDA CROPCHEM LIMITED,NICOSULFURON,4.2 g
12648,FLUXEN EC,CHEMIA S.P.A.,FLUFENOXURON,4.7 g
12649,GRINGO,CHEMIA S.P.A.,BIFENTHRIN,2.0 g
12650,NUPRID 200 SL,NUFARM ITALIA S.R.L.,IMIDACLOPRID,17.8 g
12653,RAGNOSTOP COMBI,AGRIMIX S.R.L.,HEXYTHIAZOX|DICOFOL,2.0 g|16.0 g
12654,SPINTOR,DOW AGROSCIENCES ITALIA S.R.L.,SPINOSAD,44.2 g
12655,CRIPTON,NUFARM ITALIA S.R.L.,FLUFENOXURON,4.7 g
12656,ARDENT NOVA,CHEMINOVA AGRO ITALIA S.R.L.,ABAMECTIN (AKA AVERMECTIN)|ACRINATHRIN,1.3 g|2.4 g
12657,MASCOT-FL,SCAM S.P.A.,BUPROFEZIN,23.5 g
12658,SEPANG,ROCCA FRUTTA S.R.L.,LENACIL,80.0 g
12659,IMIDAN EC,GOWAN ITALIA S.R.L.,PHOSMET,17.7 g
12660,ROTEPIR EC,SOCOA TRADING S.R.L.,PIPERONYL BUTOXIDE|ROTENONE|PYRETHRINS,2.0 g|2.0 g|0.5 g
12661,NEXOL 10 WG,ASCENZA ITALIA S.R.L.,PENCONAZOLE,10.0 g
12662,METAFOL 700 SC,UPL EUROPE LTD,METAMITRON,57.9 g
12663,KB OLIO MINERALE,ICL ITALIA TREVISO S.R.L.,PARAFFIN OIL/(CAS 8012-95-1),80.0 g
12667,KB ANTILUMACHE,ICL ITALIA TREVISO S.R.L.,METALDEHYDE,5.0 g
12668,COMPLY,ZAPI INDUSTRIE CHIMICHE S.P.A.,PARAFFIN OIL/(CAS 64742-46-7),97.0 g
12669,BOVERAL,CBC (EUROPE) S.R.L.,BEAUVERIA BASSIANA STRAINS ATCC 74040 AND GHA,0.0 g
12670,RISOLUTIV SL,CHEMINOVA AGRO ITALIA S.R.L.,GLYPHOSATE,31.0 g
12671,HARMONY 50 SX,CHEMINOVA AGRO ITALIA S.R.L.,THIFENSULFURON-METHYL,50.0 g
12672,AKARMIX 16-2,TECNITERRA S.R.L.,HEXYTHIAZOX|DICOFOL,2.0 g|16.0 g
12673,CUPROZIN 35 WP,SPIESS URANIA CHEMICALS GMBH,COPPER OXYCHLORIDE,35.0 g
12674,LINFA ZOLFO RAMATO,NATAN S.R.L.,COPPER OXYCHLORIDE|SULPHUR (ZOLFO),12.0 g|28.0 g
12675,ALTER TRIPLO BLU,AGRIPHAR ITALIA S.R.L.,CYMOXANIL|FOSETYL-ALUMINIUM|MANCOZEB,2.5 g|32.5 g|25.0 g
12676,OXATER,AGRIPHAR ITALIA S.R.L.,OXADIAZON,34.1 g
12677,MASSOARMONEX 10 L,FINE AGROCHEMICALS LTD,6-BENZYLADENINE,9.4 g
12678,CERALL,KOPPERT B.V.,PSEUDOMONAS CHLORORAPHIS STRAIN MA342,9.0 g/l
12679,CREW 40 SC,NUFARM ITALIA S.R.L.,NICOSULFURON,4.2 g
12680,RIZA 200 EC,CHEMINOVA AGRO ITALIA S.R.L.,TEBUCONAZOLE,20.5 g
12681,LARIEM C20 WG,AGRISYSTEM S.R.L.,CYMOXANIL,20.0 g
12683,MEXTROL PLUS,NUFARM ITALIA S.R.L.,MECOPROP|IOXYNIL,33.0 g|11.0 g
12684,FORNET EXTRA 6OD,ISK BIOSCIENCES EUROPE N.V.,NICOSULFURON,6.1 g
12685,HELMBENZURON 24 SC,HELM AG,DIFLUBENZURON,21.4 g
12686,CHAMAN,CHEMINOVA AGRO ITALIA S.R.L.,NICOSULFURON,4.2 g
12688,BRACHET FL,SCAM S.P.A.,TRIFLUMURON,39.0 g
12689,GREENSAN 39,TAMINCO ITALIA S.R.L.,METAM POTASSIUM,39.0 g
12690,SPRUZIT INSETTICIDA CONCENTRATO,W. NEUDORFF GMBH KG,PYRETHRINS,0.5 g
12691,SPRUZIT INSETTICIDA PRONTO USO,W. NEUDORFF GMBH KG,PYRETHRIN I,0.0 g
12692,SPRUZIT INSETTICIDA,W. NEUDORFF GMBH KG,PYRETHRIN I,0.5 g
12693,TALPACLOR SUPER,CHIMIGROUP S.R.L.,CLOROFACINONE,0.1 g
12694,ACARICIDA,NATAN S.R.L.,HEXYTHIAZOX|DICOFOL,1.0 g|8.0 g
12696,TEBUZOL S DISPERSS,BAYER CROPSCIENCE S.R.L.,SULPHUR (ZOLFO)|TEBUCONAZOLE,70.0 g|4.5 g
12697,TIANON WDG,SCAM S.P.A.,DITHIANON,23.5 g
12698,TRILUX,SIPCAM S.P.A.,TRIFLUMURON,25.0 g
12699,TOPAZ,SIPCAM S.P.A.,DIFLUFENICAN,42.0 g
12700,BIOTRIPLO,CHEMIA S.P.A.,CYMOXANIL|FOSETYL-ALUMINIUM|MANCOZEB,2.5 g|32.5 g|25.0 g
12701,FENAMY,AGRIM S.R.L.,CYROMAZINE,75.0 g
12702,TEAK,SIPCAM S.P.A.,TEFLUBENZURON,14.0 g
12703,DIPYLON 20 LE,SHARDA CROPCHEM LIMITED,MYCLOBUTANIL,20.0 g
12705,PIROTEN EC,SOCOA TRADING S.R.L.,PYRETHRIN I|ROTENONE,0.5 g|2.0 g
12706,PERMIT,NISSAN CHEMICAL EUROPE S.A.S,HALOSULFURON METHYL,75.0 g
12707,PALADIN,DOW AGROSCIENCES ITALIA S.R.L.,CYHALOFOP-BUTYL,20.9 g
12709,CUBA FLOW,TECNITERRA S.R.L.,TRIBASIC COPPER SULFATE,15.2 g
12710,CALIPER-EC,SCAM S.P.A.,PYRIDABEN,19.4 g
12711,PROPYSPRAY,ADAMA ITALIA S.R.L.,PROPICONAZOLE,0.0 g
12712,FLORSPRAY,ADAMA ITALIA S.R.L.,PROPICONAZOLE,0.0 g
12714,KELLY R DF,ISAGRO S.P.A.,FOSETYL-ALUMINIUM|COPPER OXYCHLORIDE,25.0 g|25.0 g
12715,AUXISET 4,GOBBI L. S.R.L.,1-NAPHTHYLACETIC ACID (1-NAA)|1-NAPHTHYLACETAMIDE (1-NAD),0.4 g|3.6 g
12716,REGLONE,BEIKIRCHER GRUENLAND S.N.C.,DIQUAT (DIBROMIDE),16.9 g
12717,CYPER SC,CHEMIA S.P.A.,CYPERMETHRIN,10.0 g
12718,VALE SC,ERREGI S.R.L.,BIFENTHRIN,2.0 g
